City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,Hovd,48.0056,91.6419,25.32,39,4,2.82,MN,2022-04-10 23:20:41
273,Merauke,-8.4667,140.3333,81.1,81,98,5.57,ID,2022-04-10 23:20:42
274,Havelock,34.8791,-76.9013,60.94,39,0,11.5,US,2022-04-10 23:20:42
275,Usak,38.5,29.4167,50.31,49,24,4.54,TR,2022-04-10 23:20:43
276,Zhigansk,66.7697,123.3711,1.33,96,53,8.37,RU,2022-04-10 23:21:43
277,Pangnirtung,66.1451,-65.7125,24.49,91,100,2.95,CA,2022-04-10 23:21:43
278,Baykit,61.67,96.37,13.46,98,83,3.83,RU,2022-04-10 23:21:44
279,Campbell River,50.0163,-125.2446,41.45,81,75,6.91,CA,2022-04-10 23:21:44
280,Floro,61.5996,5.0328,37.96,75,100,23.02,NO,2022-04-10 23:21:44
281,Chumikan,54.7183,135.315,23.09,81,100,18.39,RU,2022-04-10 23:21:44
282,Abrau-Dyurso,44.69,37.59,45.86,67,55,6.85,RU,2022-04-10 23:21:45
283,Geraldton,-28.7667,114.6,61.21,100,75,8.05,AU,2022-04-10 23:19:10
284,Northam,51.0333,-4.2167,47.61,62,100,18.57,GB,2022-04-10 23:21:45
285,Coromandel,-18.4733,-47.2003,73.13,72,97,3.51,BR,2022-04-10 23:21:45
286,Ormara,25.2088,64.6357,80.2,75,100,10.07,PK,2022-04-10 23:21:46
287,Pisco,-13.7,-76.2167,69.85,68,0,14.97,PE,2022-04-10 23:21:46
288,Darhan,49.4867,105.9228,28.92,59,43,1.14,MN,2022-04-10 23:21:47
289,Yar-Sale,66.8333,70.8333,33.89,99,100,12.28,RU,2022-04-10 23:21:47
290,Bull Savanna,17.8868,-77.5902,76.51,77,63,3.44,JM,2022-04-10 23:21:47
291,Kangaatsiaq,68.3065,-53.4641,20.52,83,100,6.17,GL,2022-04-10 23:21:48
